Name,Discount,Price,Sold_Num,Link
,,,,
熟凍海瓜仔肉 已去殼 炒菜 炒飯 煮湯 簡單料理 500g,滿額折$30,$149,0,https://shopee.tw/%E7%86%9F%E5%87%8D%E6%B5%B7%E7%93%9C%E4%BB%94%E8%82%89-%E5%B7%B2%E5%8E%BB%E6%AE%BC-%E7%82%92%E8%8F%9C-%E7%82%92%E9%A3%AF-%E7%85%AE%E6%B9%AF-%E7%B0%A1%E5%96%AE%E6%96%99%E7%90%86-500g-i.772733494.19362734411?sp_atk=a63e4c17-b9ba-44b4-b3f9-dbed95afae62
,,,,
白菜滷獅子頭 重量1500g 固形物850g 手路菜 古早味 傳統小吃 冷凍食品,滿額折$30,$299,0,https://shopee.tw/%E7%99%BD%E8%8F%9C%E6%BB%B7%E7%8D%85%E5%AD%90%E9%A0%AD-%E9%87%8D%E9%87%8F1500g-%E5%9B%BA%E5%BD%A2%E7%89%A9850g-%E6%89%8B%E8%B7%AF%E8%8F%9C-%E5%8F%A4%E6%97%A9%E5%91%B3-%E5%82%B3%E7%B5%B1%E5%B0%8F%E5%90%83-%E5%86%B7%E5%87%8D%E9%A3%9F%E5%93%81-i.772733494.20362308257?sp_atk=4a7ccc95-1eef-4374-9162-2a96a4e6093a
,,,,
巨無霸厚切鱈魚 #無肚洞 #大比目魚 600g #生鮮 #魚湯 #乾煎 #清蒸 #氣炸,滿額折$30,$299,0,https://shopee.tw/%E5%B7%A8%E7%84%A1%E9%9C%B8%E5%8E%9A%E5%88%87%E9%B1%88%E9%AD%9A-%E7%84%A1%E8%82%9A%E6%B4%9E-%E5%A4%A7%E6%AF%94%E7%9B%AE%E9%AD%9A-600g-%E7%94%9F%E9%AE%AE-%E9%AD%9A%E6%B9%AF-%E4%B9%BE%E7%85%8E-%E6%B8%85%E8%92%B8-%E6%B0%A3%E7%82%B8-i.772733494.8999771611?sp_atk=19e2dbef-cfcf-4a49-911a-3ca3b49cc998
,,,,
即食料理 台北《佬港冰室》乾炒牛肉河粉 300g【滿999免運】 台北淡水名店 港式經典,滿額折$30,$145,1,https://shopee.tw/%E5%8D%B3%E9%A3%9F%E6%96%99%E7%90%86-%E5%8F%B0%E5%8C%97%E3%80%8A%E4%BD%AC%E6%B8%AF%E5%86%B0%E5%AE%A4%E3%80%8B%E4%B9%BE%E7%82%92%E7%89%9B%E8%82%89%E6%B2%B3%E7%B2%89-300g%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91-%E5%8F%B0%E5%8C%97%E6%B7%A1%E6%B0%B4%E5%90%8D%E5%BA%97-%E6%B8%AF%E5%BC%8F%E7%B6%93%E5%85%B8-i.772733494.18559048424?sp_atk=a11d288a-aaaa-47ac-b1da-b7b52d3f78e8
,,,,
(買一送一) 鳳梨風味雞塊 500g/包 【滿999免運】出貨一組2包 童趣 趣味雞塊 小七 團購 夯品,滿額折$30,$189,1,https://shopee.tw/(%E8%B2%B7%E4%B8%80%E9%80%81%E4%B8%80)-%E9%B3%B3%E6%A2%A8%E9%A2%A8%E5%91%B3%E9%9B%9E%E5%A1%8A-500g-%E5%8C%85-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E5%87%BA%E8%B2%A8%E4%B8%80%E7%B5%842%E5%8C%85-%E7%AB%A5%E8%B6%A3-%E8%B6%A3%E5%91%B3%E9%9B%9E%E5%A1%8A-%E5%B0%8F%E4%B8%83-%E5%9C%98%E8%B3%BC-%E5%A4%AF%E5%93%81-i.772733494.21559045570?sp_atk=93e5e594-da63-433c-b7e8-b1eac64a0d01
,,,,
調味里肌肉絲300g 【滿999免運】里肌肉片 豬肉片 炒肉片 肉片 豬里肌,滿額折$30,$59,10,https://shopee.tw/%E8%AA%BF%E5%91%B3%E9%87%8C%E8%82%8C%E8%82%89%E7%B5%B2300g-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E9%87%8C%E8%82%8C%E8%82%89%E7%89%87-%E8%B1%AC%E8%82%89%E7%89%87-%E7%82%92%E8%82%89%E7%89%87-%E8%82%89%E7%89%87-%E8%B1%AC%E9%87%8C%E8%82%8C-i.772733494.20959043342?sp_atk=a1fa9309-08bf-4f2c-8ee0-57c9322ef9bc
,,,,
(買一送一) 鳳梨風味雞塊 500g/包 【滿999免運】出貨一組2包 童趣 趣味雞塊 小七 團購 夯品,滿額折$30,$189,1,https://shopee.tw/(%E8%B2%B7%E4%B8%80%E9%80%81%E4%B8%80)-%E9%B3%B3%E6%A2%A8%E9%A2%A8%E5%91%B3%E9%9B%9E%E5%A1%8A-500g-%E5%8C%85-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E5%87%BA%E8%B2%A8%E4%B8%80%E7%B5%842%E5%8C%85-%E7%AB%A5%E8%B6%A3-%E8%B6%A3%E5%91%B3%E9%9B%9E%E5%A1%8A-%E5%B0%8F%E4%B8%83-%E5%9C%98%E8%B3%BC-%E5%A4%AF%E5%93%81-i.772733494.21559045570?sp_atk=847402f5-da18-42fe-bff2-56567afb1c66
,,,,
預炸《卜蜂食品》卜蜂香酥雞腿排 原味 450g 5入【滿999免運】手工去骨 原味 卡拉雞腿 香脆雞腿肉排 卜蜂 卡拉,滿額折$30,$125,7,https://shopee.tw/%E9%A0%90%E7%82%B8%E3%80%8A%E5%8D%9C%E8%9C%82%E9%A3%9F%E5%93%81%E3%80%8B%E5%8D%9C%E8%9C%82%E9%A6%99%E9%85%A5%E9%9B%9E%E8%85%BF%E6%8E%92-%E5%8E%9F%E5%91%B3-450g-5%E5%85%A5%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E6%89%8B%E5%B7%A5%E5%8E%BB%E9%AA%A8-%E5%8E%9F%E5%91%B3-%E5%8D%A1%E6%8B%89%E9%9B%9E%E8%85%BF-%E9%A6%99%E8%84%86%E9%9B%9E%E8%85%BF%E8%82%89%E6%8E%92-%E5%8D%9C%E8%9C%82-%E5%8D%A1%E6%8B%89-i.772733494.22901287214?sp_atk=d5330ecc-2320-481d-84d4-0dd9bb645117
,,,,
預炸《鮮之饌》花枝蝦排 400g 一包10入【滿999免運】 無須退冰 鍋煎 油炸,滿額折$30,$225,0,https://shopee.tw/%E9%A0%90%E7%82%B8%E3%80%8A%E9%AE%AE%E4%B9%8B%E9%A5%8C%E3%80%8B%E8%8A%B1%E6%9E%9D%E8%9D%A6%E6%8E%92-400g-%E4%B8%80%E5%8C%8510%E5%85%A5%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91-%E7%84%A1%E9%A0%88%E9%80%80%E5%86%B0-%E9%8D%8B%E7%85%8E-%E6%B2%B9%E7%82%B8-i.772733494.22001253268?sp_atk=24097d31-ec74-43b9-ba97-491002ddde5b
,,,,
《富統食品》起司豬排 800g 10入 【滿999免運】早餐材料 炸物 氣炸鍋 油炸 炸物拼盤 起司豬排,滿額折$30,$249,0,https://shopee.tw/%E3%80%8A%E5%AF%8C%E7%B5%B1%E9%A3%9F%E5%93%81%E3%80%8B%E8%B5%B7%E5%8F%B8%E8%B1%AC%E6%8E%92-800g-10%E5%85%A5-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E6%97%A9%E9%A4%90%E6%9D%90%E6%96%99-%E7%82%B8%E7%89%A9-%E6%B0%A3%E7%82%B8%E9%8D%8B-%E6%B2%B9%E7%82%B8-%E7%82%B8%E7%89%A9%E6%8B%BC%E7%9B%A4-%E8%B5%B7%E5%8F%B8%E8%B1%AC%E6%8E%92-i.772733494.19655297739?sp_atk=fe31a00a-6712-475d-ae0c-aa6d281e10cb
,,,,
酥炸翅小腿 1kg【滿999免運】炸物 拼盤 預炸 烤箱 油炸 棒棒腿 氣炸鍋 點心 早餐 下午茶,滿額折$30,$199,3,https://shopee.tw/%E9%85%A5%E7%82%B8%E7%BF%85%E5%B0%8F%E8%85%BF-1kg%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E7%82%B8%E7%89%A9-%E6%8B%BC%E7%9B%A4-%E9%A0%90%E7%82%B8-%E7%83%A4%E7%AE%B1-%E6%B2%B9%E7%82%B8-%E6%A3%92%E6%A3%92%E8%85%BF-%E6%B0%A3%E7%82%B8%E9%8D%8B-%E9%BB%9E%E5%BF%83-%E6%97%A9%E9%A4%90-%E4%B8%8B%E5%8D%88%E8%8C%B6-i.772733494.18651589757?sp_atk=a6fab721-82ea-4504-9e4f-c9782699ebec
,,,,
酥炸二節翅 1kg【滿999免運】預炸食品 氣炸鍋 烤箱 油炸 炸物 拚盤,滿額折$30,$199,2,https://shopee.tw/%E9%85%A5%E7%82%B8%E4%BA%8C%E7%AF%80%E7%BF%85-1kg%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E9%A0%90%E7%82%B8%E9%A3%9F%E5%93%81-%E6%B0%A3%E7%82%B8%E9%8D%8B-%E7%83%A4%E7%AE%B1-%E6%B2%B9%E7%82%B8-%E7%82%B8%E7%89%A9-%E6%8B%9A%E7%9B%A4-i.772733494.20251585341?sp_atk=53388e7c-51b5-4dd5-ac01-8473d30ded9b
,,,,
涼拌小菜 《漁夫就是鮮》漁夫雞爪凍 1kg【滿999免運】涼拌小菜 下酒菜 家庭用 業務包 台中名產 知名 雞爪凍,滿額折$30,$149,7,https://shopee.tw/%E6%B6%BC%E6%8B%8C%E5%B0%8F%E8%8F%9C-%E3%80%8A%E6%BC%81%E5%A4%AB%E5%B0%B1%E6%98%AF%E9%AE%AE%E3%80%8B%E6%BC%81%E5%A4%AB%E9%9B%9E%E7%88%AA%E5%87%8D-1kg%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E6%B6%BC%E6%8B%8C%E5%B0%8F%E8%8F%9C-%E4%B8%8B%E9%85%92%E8%8F%9C-%E5%AE%B6%E5%BA%AD%E7%94%A8-%E6%A5%AD%E5%8B%99%E5%8C%85-%E5%8F%B0%E4%B8%AD%E5%90%8D%E7%94%A2-%E7%9F%A5%E5%90%8D-%E9%9B%9E%E7%88%AA%E5%87%8D-i.772733494.19052671601?sp_atk=6a1a6a4e-248b-46c7-a17c-019b7131c814
,,,,
《蒲樂》龍蝦舞沙拉 250g【滿9999免運】日本料理 手捲 御飯糰 軍艦壽司 漢堡 輕食 吐司 沙拉醬,滿額折$30,$135,0,https://shopee.tw/%E3%80%8A%E8%92%B2%E6%A8%82%E3%80%8B%E9%BE%8D%E8%9D%A6%E8%88%9E%E6%B2%99%E6%8B%89-250g%E3%80%90%E6%BB%BF9999%E5%85%8D%E9%81%8B%E3%80%91%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86-%E6%89%8B%E6%8D%B2-%E5%BE%A1%E9%A3%AF%E7%B3%B0-%E8%BB%8D%E8%89%A6%E5%A3%BD%E5%8F%B8-%E6%BC%A2%E5%A0%A1-%E8%BC%95%E9%A3%9F-%E5%90%90%E5%8F%B8-%E6%B2%99%E6%8B%89%E9%86%AC-i.772733494.20952095478?sp_atk=b5fcbb3b-6817-493f-8a98-a97e5d4d6a09
,,,,
德國愛牧牛奶 1000ml【滿999免運】保久乳 濃郁天然 德國百年乳業 3.8%乳脂 頂級排餐御用 牛奶鍋,滿額折$30,$90,0,https://shopee.tw/%E5%BE%B7%E5%9C%8B%E6%84%9B%E7%89%A7%E7%89%9B%E5%A5%B6-1000ml%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E4%BF%9D%E4%B9%85%E4%B9%B3-%E6%BF%83%E9%83%81%E5%A4%A9%E7%84%B6-%E5%BE%B7%E5%9C%8B%E7%99%BE%E5%B9%B4%E4%B9%B3%E6%A5%AD-3.8-%E4%B9%B3%E8%84%82-%E9%A0%82%E7%B4%9A%E6%8E%92%E9%A4%90%E5%BE%A1%E7%94%A8-%E7%89%9B%E5%A5%B6%E9%8D%8B-i.772733494.21552076459?sp_atk=5a858f87-024b-42c2-b58b-9f71ff5b9a11
,,,,
100%檸檬汁(袋裝20入) 【滿999免運】飲料 甜點 料理 泰式 沾醬 涼拌 增添風味,滿額折$30,$129,0,https://shopee.tw/100-%E6%AA%B8%E6%AA%AC%E6%B1%81(%E8%A2%8B%E8%A3%9D20%E5%85%A5)-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E9%A3%B2%E6%96%99-%E7%94%9C%E9%BB%9E-%E6%96%99%E7%90%86-%E6%B3%B0%E5%BC%8F-%E6%B2%BE%E9%86%AC-%E6%B6%BC%E6%8B%8C-%E5%A2%9E%E6%B7%BB%E9%A2%A8%E5%91%B3-i.772733494.21140504890?sp_atk=1a37beb4-faa9-411e-b116-837e1f7ac065
,,,,
柳葉魚(生鮮) 250g【滿999免運】酥炸柳葉魚 公母皆有 生鮮 冷凍 挪威,滿額折$30,$99,2,https://shopee.tw/%E6%9F%B3%E8%91%89%E9%AD%9A(%E7%94%9F%E9%AE%AE)-250g%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E9%85%A5%E7%82%B8%E6%9F%B3%E8%91%89%E9%AD%9A-%E5%85%AC%E6%AF%8D%E7%9A%86%E6%9C%89-%E7%94%9F%E9%AE%AE-%E5%86%B7%E5%87%8D-%E6%8C%AA%E5%A8%81-i.772733494.18637224277?sp_atk=a5f4c52d-0ade-47ed-b833-78ada48598a9
,,,,
黃金優纖輕采花椰米(全素) 200g 【滿999免運】低醣 碳水 澱粉 主食 健康 藜麥 花椰菜米 麻油香,滿額折$30,$99,7,https://shopee.tw/%E9%BB%83%E9%87%91%E5%84%AA%E7%BA%96%E8%BC%95%E9%87%87%E8%8A%B1%E6%A4%B0%E7%B1%B3(%E5%85%A8%E7%B4%A0)-200g-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E4%BD%8E%E9%86%A3-%E7%A2%B3%E6%B0%B4-%E6%BE%B1%E7%B2%89-%E4%B8%BB%E9%A3%9F-%E5%81%A5%E5%BA%B7-%E8%97%9C%E9%BA%A5-%E8%8A%B1%E6%A4%B0%E8%8F%9C%E7%B1%B3-%E9%BA%BB%E6%B2%B9%E9%A6%99-i.772733494.20332871529?sp_atk=05a36c78-0069-45f1-bd34-e29f154876ef
,,,,
巨無霸厚切鱈魚 #無肚洞 #大比目魚 600g #生鮮 #魚湯 #乾煎 #清蒸 #氣炸,滿額折$30,$299,0,https://shopee.tw/%E5%B7%A8%E7%84%A1%E9%9C%B8%E5%8E%9A%E5%88%87%E9%B1%88%E9%AD%9A-%E7%84%A1%E8%82%9A%E6%B4%9E-%E5%A4%A7%E6%AF%94%E7%9B%AE%E9%AD%9A-600g-%E7%94%9F%E9%AE%AE-%E9%AD%9A%E6%B9%AF-%E4%B9%BE%E7%85%8E-%E6%B8%85%E8%92%B8-%E6%B0%A3%E7%82%B8-i.772733494.8999771611?sp_atk=defe117a-3c14-41d4-bc2c-a1ef9de11e31
,,,,
調味里肌肉絲300g 【滿999免運】里肌肉片 豬肉片 炒肉片 肉片 豬里肌,滿額折$30,$59,10,https://shopee.tw/%E8%AA%BF%E5%91%B3%E9%87%8C%E8%82%8C%E8%82%89%E7%B5%B2300g-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E9%87%8C%E8%82%8C%E8%82%89%E7%89%87-%E8%B1%AC%E8%82%89%E7%89%87-%E7%82%92%E8%82%89%E7%89%87-%E8%82%89%E7%89%87-%E8%B1%AC%E9%87%8C%E8%82%8C-i.772733494.20959043342?sp_atk=c5cd9f8d-e96b-4a14-bbd0-0f8fe12521f7
,,,,
料理生鮮 比目魚丁(切塊鱈魚肉) 450g/包 約10塊【滿999免運】生鮮 魚湯 鱈魚湯 格陵蘭 丹麥 深海魚 燉補,滿額折$30,$149,0,https://shopee.tw/%E6%96%99%E7%90%86%E7%94%9F%E9%AE%AE-%E6%AF%94%E7%9B%AE%E9%AD%9A%E4%B8%81(%E5%88%87%E5%A1%8A%E9%B1%88%E9%AD%9A%E8%82%89)-450g-%E5%8C%85-%E7%B4%8410%E5%A1%8A%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E7%94%9F%E9%AE%AE-%E9%AD%9A%E6%B9%AF-%E9%B1%88%E9%AD%9A%E6%B9%AF-%E6%A0%BC%E9%99%B5%E8%98%AD-%E4%B8%B9%E9%BA%A5-%E6%B7%B1%E6%B5%B7%E9%AD%9A-%E7%87%89%E8%A3%9C-i.772733494.18057730901?sp_atk=98a42635-b349-4b8c-897e-646d4887d40e
,,,,
預炸《鮮之饌》花枝蝦排 400g 一包10入【滿999免運】 無須退冰 鍋煎 油炸,滿額折$30,$225,0,https://shopee.tw/%E9%A0%90%E7%82%B8%E3%80%8A%E9%AE%AE%E4%B9%8B%E9%A5%8C%E3%80%8B%E8%8A%B1%E6%9E%9D%E8%9D%A6%E6%8E%92-400g-%E4%B8%80%E5%8C%8510%E5%85%A5%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91-%E7%84%A1%E9%A0%88%E9%80%80%E5%86%B0-%E9%8D%8B%E7%85%8E-%E6%B2%B9%E7%82%B8-i.772733494.22001253268?sp_atk=d09f8c16-71ff-44f0-967a-0a317bbf2229
,,,,
醃漬肉品 照燒翅小腿 500g【滿999免運】約6～8入 氣炸15分鐘 照燒口味 棒棒腿 烤箱 點心 速炸,滿額折$30,$99,1,https://shopee.tw/%E9%86%83%E6%BC%AC%E8%82%89%E5%93%81-%E7%85%A7%E7%87%92%E7%BF%85%E5%B0%8F%E8%85%BF-500g%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E7%B4%846%EF%BD%9E8%E5%85%A5-%E6%B0%A3%E7%82%B815%E5%88%86%E9%90%98-%E7%85%A7%E7%87%92%E5%8F%A3%E5%91%B3-%E6%A3%92%E6%A3%92%E8%85%BF-%E7%83%A4%E7%AE%B1-%E9%BB%9E%E5%BF%83-%E9%80%9F%E7%82%B8-i.772733494.22500664204?sp_atk=d816db04-8b85-4091-b772-8987a64784b7
,,,,
《富統食品》起司豬排 800g 10入 【滿999免運】早餐材料 炸物 氣炸鍋 油炸 炸物拼盤 起司豬排,滿額折$30,$249,0,https://shopee.tw/%E3%80%8A%E5%AF%8C%E7%B5%B1%E9%A3%9F%E5%93%81%E3%80%8B%E8%B5%B7%E5%8F%B8%E8%B1%AC%E6%8E%92-800g-10%E5%85%A5-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E6%97%A9%E9%A4%90%E6%9D%90%E6%96%99-%E7%82%B8%E7%89%A9-%E6%B0%A3%E7%82%B8%E9%8D%8B-%E6%B2%B9%E7%82%B8-%E7%82%B8%E7%89%A9%E6%8B%BC%E7%9B%A4-%E8%B5%B7%E5%8F%B8%E8%B1%AC%E6%8E%92-i.772733494.19655297739?sp_atk=01e2b3d5-8710-4053-ba95-6db006e1ea1e
,,,,
日本超夯北海道生吐司(共8種口味) 90g 【滿999免運】 團購美食 生吐司 早餐推薦,滿額折$30,$45,5,https://shopee.tw/%E6%97%A5%E6%9C%AC%E8%B6%85%E5%A4%AF%E5%8C%97%E6%B5%B7%E9%81%93%E7%94%9F%E5%90%90%E5%8F%B8(%E5%85%B18%E7%A8%AE%E5%8F%A3%E5%91%B3)-90g-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91-%E5%9C%98%E8%B3%BC%E7%BE%8E%E9%A3%9F-%E7%94%9F%E5%90%90%E5%8F%B8-%E6%97%A9%E9%A4%90%E6%8E%A8%E8%96%A6-i.772733494.14984934635?sp_atk=a6108c78-ed23-4115-b1c7-603574b421a5
,,,,
麵食點心《大家》超迷你馬卡龍銀絲卷 原味/草莓/巧克力 (20入) 500克/包 【滿999免運】早餐,滿額折$30,$99,14,https://shopee.tw/%E9%BA%B5%E9%A3%9F%E9%BB%9E%E5%BF%83%E3%80%8A%E5%A4%A7%E5%AE%B6%E3%80%8B%E8%B6%85%E8%BF%B7%E4%BD%A0%E9%A6%AC%E5%8D%A1%E9%BE%8D%E9%8A%80%E7%B5%B2%E5%8D%B7-%E5%8E%9F%E5%91%B3-%E8%8D%89%E8%8E%93-%E5%B7%A7%E5%85%8B%E5%8A%9B-(20%E5%85%A5)-500%E5%85%8B-%E5%8C%85-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E6%97%A9%E9%A4%90-i.772733494.16570667532?sp_atk=c9a449bc-fd6a-4dc4-8f85-ac2c379df8fc
,,,,
雙色烤麻糬(2種口味) 原味/抹茶 附煉乳一包 【滿999免運】中秋烤肉 甜點,滿額折$30,$199,1,https://shopee.tw/%E9%9B%99%E8%89%B2%E7%83%A4%E9%BA%BB%E7%B3%AC(2%E7%A8%AE%E5%8F%A3%E5%91%B3)-%E5%8E%9F%E5%91%B3-%E6%8A%B9%E8%8C%B6-%E9%99%84%E7%85%89%E4%B9%B3%E4%B8%80%E5%8C%85-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E4%B8%AD%E7%A7%8B%E7%83%A4%E8%82%89-%E7%94%9C%E9%BB%9E-i.772733494.20442368501?sp_atk=32d6e66e-e646-4049-b784-26fa3d693450
,,,,
《龍豪》芋頭/青蔥/紅豆煎餅【滿999免運】全素 厚實餡料 早餐 烘焙 抓餅 捲餅 餡餅 煎餅,滿額折$30,$139,12,https://shopee.tw/%E3%80%8A%E9%BE%8D%E8%B1%AA%E3%80%8B%E8%8A%8B%E9%A0%AD-%E9%9D%92%E8%94%A5-%E7%B4%85%E8%B1%86%E7%85%8E%E9%A4%85%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E5%85%A8%E7%B4%A0-%E5%8E%9A%E5%AF%A6%E9%A4%A1%E6%96%99-%E6%97%A9%E9%A4%90-%E7%83%98%E7%84%99-%E6%8A%93%E9%A4%85-%E6%8D%B2%E9%A4%85-%E9%A4%A1%E9%A4%85-%E7%85%8E%E9%A4%85-i.772733494.18440511660?sp_atk=cdb19346-86c2-45a0-8215-a355ad401ea4
,,,,
100%檸檬汁(袋裝20入) 【滿999免運】飲料 甜點 料理 泰式 沾醬 涼拌 增添風味,滿額折$30,$129,0,https://shopee.tw/100-%E6%AA%B8%E6%AA%AC%E6%B1%81(%E8%A2%8B%E8%A3%9D20%E5%85%A5)-%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%91%E9%A3%B2%E6%96%99-%E7%94%9C%E9%BB%9E-%E6%96%99%E7%90%86-%E6%B3%B0%E5%BC%8F-%E6%B2%BE%E9%86%AC-%E6%B6%BC%E6%8B%8C-%E5%A2%9E%E6%B7%BB%E9%A2%A8%E5%91%B3-i.772733494.21140504890?sp_atk=48102469-b3ad-4f45-ac9d-f618db74bce9
,,,,
派脆刻 龍捲餅 650g【滿999免運】2種口味 紅豆/青蔥 5片 早餐 點心 龍豪 懶人料理 加熱即食 烤箱 氣炸鍋,滿額折$30,$120,41,https://shopee.tw/%E6%B4%BE%E8%84%86%E5%88%BB-%E9%BE%8D%E6%8D%B2%E9%A4%85-650g%E3%80%90%E6%BB%BF999%E5%85%8D%E9%81%8B%E3%80%912%E7%A8%AE%E5%8F%A3%E5%91%B3-%E7%B4%85%E8%B1%86-%E9%9D%92%E8%94%A5-5%E7%89%87-%E6%97%A9%E9%A4%90-%E9%BB%9E%E5%BF%83-%E9%BE%8D%E8%B1%AA-%E6%87%B6%E4%BA%BA%E6%96%99%E7%90%86-%E5%8A%A0%E7%86%B1%E5%8D%B3%E9%A3%9F-%E7%83%A4%E7%AE%B1-%E6%B0%A3%E7%82%B8%E9%8D%8B-i.772733494.21425610674?sp_atk=58dbb150-f4c6-4148-a7a5-e98d0089b100
,,,,
